GRAPH_TYPE = ER
Nodes | Samples | Algo | AP | AR | A-F1 | HP | HR | H-F1 | SHD | SID | Time
5 | 500 | PC | 0.737±0.384 | 0.477±0.292 | 0.555±0.296 | 0.232±0.329 | 0.143±0.198 | 0.171±0.237 | 4.600±1.655 | 12.450±5.427 | 0.013±0.005 | 
5 | 500 | GES | 0.642±0.405 | 0.385±0.259 | 0.468±0.296 | 0.113±0.211 | 0.063±0.128 | 0.080±0.157 | 5.000±1.378 | 13.600±5.034 | 0.166±0.052 | 
5 | 1000 | PC | 0.754±0.389 | 0.505±0.313 | 0.582±0.318 | 0.260±0.359 | 0.163±0.215 | 0.188±0.245 | 4.350±1.352 | 12.200±5.741 | 0.013±0.006 | 
5 | 1000 | GES | 0.769±0.354 | 0.482±0.251 | 0.576±0.270 | 0.228±0.315 | 0.144±0.188 | 0.171±0.226 | 4.600±1.594 | 13.200±5.758 | 0.169±0.055 | 
5 | 2000 | PC | 0.670±0.364 | 0.467±0.295 | 0.531±0.299 | 0.188±0.305 | 0.117±0.174 | 0.135±0.202 | 4.900±1.546 | 13.050±5.025 | 0.012±0.005 | 
5 | 2000 | GES | 0.698±0.386 | 0.513±0.280 | 0.577±0.305 | 0.258±0.333 | 0.190±0.238 | 0.216±0.275 | 4.550±1.910 | 12.300±6.017 | 0.111±0.039 | 
10 | 500 | PC | 0.880±0.118 | 0.520±0.127 | 0.641±0.106 | 0.135±0.153 | 0.098±0.126 | 0.111±0.134 | 9.350±1.931 | 40.850±15.932 | 0.040±0.016 | 
10 | 500 | GES | 0.835±0.150 | 0.570±0.163 | 0.662±0.137 | 0.115±0.139 | 0.084±0.098 | 0.095±0.111 | 9.950±2.479 | 41.950±16.436 | 1.379±0.538 | 
10 | 1000 | PC | 0.823±0.119 | 0.598±0.145 | 0.680±0.112 | 0.182±0.198 | 0.142±0.167 | 0.158±0.177 | 9.350±2.032 | 40.050±15.838 | 0.047±0.020 | 
10 | 1000 | GES | 0.838±0.149 | 0.614±0.138 | 0.696±0.122 | 0.096±0.126 | 0.081±0.109 | 0.086±0.115 | 10.150±3.038 | 44.350±15.170 | 1.680±0.821 | 
10 | 2000 | PC | 0.831±0.130 | 0.645±0.135 | 0.715±0.114 | 0.174±0.154 | 0.138±0.120 | 0.152±0.133 | 9.550±2.765 | 41.350±14.664 | 0.054±0.026 | 
10 | 2000 | GES | 0.798±0.124 | 0.596±0.136 | 0.672±0.112 | 0.068±0.110 | 0.059±0.103 | 0.062±0.105 | 10.450±2.459 | 46.200±15.835 | 1.644±0.568 | 
15 | 500 | PC | 0.773±0.125 | 0.522±0.128 | 0.614±0.114 | 0.209±0.186 | 0.149±0.135 | 0.172±0.155 | 14.050±3.626 | 65.950±38.888 | 0.081±0.029 | 
15 | 500 | GES | 0.827±0.110 | 0.501±0.145 | 0.611±0.114 | 0.170±0.195 | 0.099±0.100 | 0.122±0.127 | 14.150±3.838 | 68.450±36.590 | 6.698±2.581 | 
15 | 1000 | PC | 0.776±0.130 | 0.563±0.137 | 0.639±0.113 | 0.221±0.175 | 0.174±0.147 | 0.191±0.153 | 13.950±3.542 | 65.150±35.188 | 0.089±0.043 | 
15 | 1000 | GES | 0.803±0.143 | 0.559±0.168 | 0.641±0.143 | 0.131±0.153 | 0.100±0.105 | 0.112±0.120 | 14.700±4.100 | 71.050±36.320 | 7.218±2.588 | 
15 | 2000 | PC | 0.786±0.121 | 0.621±0.146 | 0.678±0.113 | 0.189±0.161 | 0.161±0.127 | 0.172±0.139 | 14.350±4.041 | 70.000±37.652 | 0.109±0.048 | 
15 | 2000 | GES | 0.791±0.151 | 0.581±0.147 | 0.650±0.110 | 0.132±0.198 | 0.085±0.104 | 0.099±0.128 | 15.700±5.832 | 75.150±41.790 | 7.325±3.226 | 
