GRAPH_TYPE = SF
Nodes | Samples | Algo | AP | AR | A-F1 | HP | HR | H-F1 | SHD | SID | Time
5 | 500 | PC | 0.657±0.443 | 0.525±0.370 | 0.572±0.386 | 0.115±0.217 | 0.100±0.200 | 0.104±0.200 | 3.800±0.748 | 13.450±4.577 | 0.008±0.002 | 
5 | 500 | GES | 0.592±0.460 | 0.450±0.367 | 0.504±0.396 | 0.046±0.152 | 0.037±0.119 | 0.041±0.133 | 4.050±0.740 | 13.800±3.842 | 0.078±0.016 | 
5 | 1000 | PC | 0.688±0.354 | 0.562±0.305 | 0.612±0.319 | 0.056±0.156 | 0.050±0.127 | 0.052±0.139 | 4.450±0.921 | 14.800±3.709 | 0.010±0.002 | 
5 | 1000 | GES | 0.662±0.424 | 0.487±0.340 | 0.554±0.366 | 0.029±0.088 | 0.025±0.075 | 0.027±0.081 | 4.150±0.654 | 14.400±3.137 | 0.091±0.025 | 
5 | 2000 | PC | 0.713±0.342 | 0.550±0.292 | 0.611±0.300 | 0.067±0.226 | 0.050±0.170 | 0.057±0.194 | 4.400±1.158 | 14.400±4.247 | 0.011±0.003 | 
5 | 2000 | GES | 0.613±0.432 | 0.487±0.358 | 0.531±0.373 | 0.025±0.079 | 0.025±0.075 | 0.024±0.074 | 4.250±0.622 | 14.250±3.192 | 0.093±0.024 | 
10 | 500 | PC | 0.759±0.249 | 0.544±0.225 | 0.602±0.206 | 0.184±0.200 | 0.150±0.162 | 0.157±0.166 | 9.350±1.459 | 50.800±14.586 | 0.050±0.026 | 
10 | 500 | GES | 0.867±0.193 | 0.506±0.184 | 0.603±0.160 | 0.066±0.131 | 0.039±0.073 | 0.046±0.083 | 9.850±1.931 | 58.400±10.656 | 1.139±0.293 | 
10 | 1000 | PC | 0.691±0.238 | 0.611±0.242 | 0.633±0.229 | 0.172±0.197 | 0.172±0.197 | 0.171±0.193 | 9.700±2.431 | 52.850±15.701 | 0.080±0.067 | 
10 | 1000 | GES | 0.801±0.171 | 0.622±0.215 | 0.662±0.140 | 0.076±0.111 | 0.100±0.157 | 0.085±0.127 | 10.100±1.729 | 60.200±10.524 | 1.519±0.520 | 
10 | 2000 | PC | 0.722±0.182 | 0.606±0.151 | 0.633±0.117 | 0.158±0.167 | 0.172±0.187 | 0.161±0.170 | 10.200±2.135 | 51.950±13.017 | 0.078±0.043 | 
10 | 2000 | GES | 0.766±0.208 | 0.594±0.196 | 0.629±0.146 | 0.079±0.144 | 0.083±0.149 | 0.078±0.140 | 10.850±3.410 | 60.050±14.565 | 1.615±0.580 | 
15 | 500 | PC | 0.721±0.192 | 0.589±0.156 | 0.639±0.149 | 0.206±0.097 | 0.175±0.092 | 0.187±0.089 | 15.150±2.780 | 99.800±23.634 | 0.366±0.233 | 
15 | 500 | GES | 0.770±0.175 | 0.582±0.171 | 0.632±0.134 | 0.081±0.107 | 0.082±0.109 | 0.081±0.106 | 16.100±2.278 | 119.100±30.191 | 17.899±3.722 | 
15 | 1000 | PC | 0.696±0.193 | 0.589±0.146 | 0.620±0.142 | 0.122±0.146 | 0.125±0.163 | 0.122±0.153 | 16.600±3.007 | 112.250±31.218 | 0.441±0.192 | 
15 | 1000 | GES | 0.729±0.200 | 0.629±0.186 | 0.647±0.154 | 0.094±0.132 | 0.104±0.145 | 0.097±0.135 | 16.750±3.727 | 119.350±26.411 | 20.143±5.642 | 
15 | 2000 | PC | 0.698±0.182 | 0.700±0.154 | 0.681±0.128 | 0.184±0.124 | 0.211±0.154 | 0.193±0.136 | 16.200±3.385 | 105.550±26.297 | 0.625±0.367 | 
15 | 2000 | GES | 0.677±0.209 | 0.661±0.175 | 0.640±0.148 | 0.056±0.077 | 0.071±0.104 | 0.062±0.087 | 18.600±3.583 | 128.450±29.292 | 21.335±8.638 | 
